"Question","Answer","Category","Group","Percentage"
"Have sexual relations with men, including anything from kissing to sex","Never, and not open to it","Children","No Children",68
"Have sexual relations with men, including anything from kissing to sex","Never, and not open to it","Sexual Orientation","Straight",92
"Have sexual relations with men, including anything from kissing to sex","Never, and not open to it","Sexual Orientation","Gay/Bisexual",2
"Have sexual relations with men, including anything from kissing to sex","No answer","All Men",NA,1
"Have sexual relations with men, including anything from kissing to sex","No answer","Age","18-34",0
"Have sexual relations with men, including anything from kissing to sex","No answer","Age","35-64",1
"Have sexual relations with men, including anything from kissing to sex","No answer","Age","65+",4
"Have sexual relations with men, including anything from kissing to sex","No answer","Race","White",1
"Have sexual relations with men, including anything from kissing to sex","No answer","Race","Non-White",1
"Have sexual relations with men, including anything from kissing to sex","No answer","Children","Has Children",1
"Have sexual relations with men, including anything from kissing to sex","No answer","Children","No Children",1
"Have sexual relations with men, including anything from kissing to sex","No answer","Sexual Orientation","Straight",1
"Have sexual relations with men, including anything from kissing to sex","No answer","Sexual Orientation","Gay/Bisexual",1
"Watch sports of any kind","Often","All Men",NA,38
"Watch sports of any kind","Often","Age","18-34",29
"Watch sports of any kind","Often","Age","35-64",41
"Watch sports of any kind","Often","Age","65+",44
"Watch sports of any kind","Often","Race","White",38
"Watch sports of any kind","Often","Race","Non-White",38
"Watch sports of any kind","Often","Children","Has Children",44
"Watch sports of any kind","Often","Children","No Children",32
"Watch sports of any kind","Often","Sexual Orientation","Straight",42
"Watch sports of any kind","Often","Sexual Orientation","Gay/Bisexual",19
"Watch sports of any kind","Sometimes","All Men",NA,25
"Watch sports of any kind","Sometimes","Age","18-34",19
"Watch sports of any kind","Sometimes","Age","35-64",28
"Watch sports of any kind","Sometimes","Age","65+",28
"Watch sports of any kind","Sometimes","Race","White",25
"Watch sports of any kind","Sometimes","Race","Non-White",24
"Watch sports of any kind","Sometimes","Children","Has Children",26
"Watch sports of any kind","Sometimes","Children","No Children",23
"Watch sports of any kind","Sometimes","Sexual Orientation","Straight",28
"Watch sports of any kind","Sometimes","Sexual Orientation","Gay/Bisexual",10
"Watch sports of any kind","Rarely","All Men",NA,18
"Watch sports of any kind","Rarely","Age","18-34",24
"Watch sports of any kind","Rarely","Age","35-64",16
"Watch sports of any kind","Rarely","Age","65+",15
"Watch sports of any kind","Rarely","Race","White",18
"Watch sports of any kind","Rarely","Race","Non-White",18
"Watch sports of any kind","Rarely","Children","Has Children",14
"Watch sports of any kind","Rarely","Children","No Children",22
"Watch sports of any kind","Rarely","Sexual Orientation","Straight",14
"Watch sports of any kind","Rarely","Sexual Orientation","Gay/Bisexual",41
"Watch sports of any kind","Never, but open to it","All Men",NA,5
"Watch sports of any kind","Never, but open to it","Age","18-34",7
"Watch sports of any kind","Never, but open to it","Age","35-64",4
"Watch sports of any kind","Never, but open to it","Age","65+",6
"Watch sports of any kind","Never, but open to it","Race","White",6
"Watch sports of any kind","Never, but open to it","Race","Non-White",5
"Watch sports of any kind","Never, but open to it","Children","Has Children",6
"Watch sports of any kind","Never, but open to it","Children","No Children",5
"Watch sports of any kind","Never, but open to it","Sexual Orientation","Straight",5
"Watch sports of any kind","Never, but open to it","Sexual Orientation","Gay/Bisexual",7
"Watch sports of any kind","Never, and not open to it","All Men",NA,13
"Watch sports of any kind","Never, and not open to it","Age","18-34",20
"Watch sports of any kind","Never, and not open to it","Age","35-64",11
"Watch sports of any kind","Never, and not open to it","Age","65+",7
"Watch sports of any kind","Never, and not open to it","Race","White",12
"Watch sports of any kind","Never, and not open to it","Race","Non-White",14
"Watch sports of any kind","Never, and not open to it","Children","Has Children",9
"Watch sports of any kind","Never, and not open to it","Children","No Children",17
"Watch sports of any kind","Never, and not open to it","Sexual Orientation","Straight",10
"Watch sports of any kind","Never, and not open to it","Sexual Orientation","Gay/Bisexual",23
"Watch sports of any kind","No answer","All Men",NA,1
"Watch sports of any kind","No answer","Age","18-34",0
"Watch sports of any kind","No answer","Age","35-64",1
"Watch sports of any kind","No answer","Age","65+",1
"Watch sports of any kind","No answer","Race","White",1
"Watch sports of any kind","No answer","Race","Non-White",0
"Watch sports of any kind","No answer","Children","Has Children",1
"Watch sports of any kind","No answer","Children","No Children",0
"Watch sports of any kind","No answer","Sexual Orientation","Straight",1
"Watch sports of any kind","No answer","Sexual Orientation","Gay/Bisexual",0
"Work out","Often","All Men",NA,21
"Work out","Often","Age","18-34",30
"Work out","Often","Age","35-64",16
"Work out","Often","Age","65+",20
"Work out","Often","Race","White",19
"Work out","Often","Race","Non-White",25
"Work out","Often","Children","Has Children",17
"Work out","Often","Children","No Children",26
"Work out","Often","Sexual Orientation","Straight",21
"Work out","Often","Sexual Orientation","Gay/Bisexual",24
"Work out","Sometimes","All Men",NA,32
"Work out","Sometimes","Age","18-34",31
"Work out","Sometimes","Age","35-64",36
"Work out","Sometimes","Age","65+",24
"Work out","Sometimes","Race","White",31
"Work out","Sometimes","Race","Non-White",36
"Work out","Sometimes","Children","Has Children",34
"Work out","Sometimes","Children","No Children",30
"Work out","Sometimes","Sexual Orientation","Straight",34
"Work out","Sometimes","Sexual Orientation","Gay/Bisexual",23
"Work out","Rarely","All Men",NA,28
"Work out","Rarely","Age","18-34",25
"Work out","Rarely","Age","35-64",28
"Work out","Rarely","Age","65+",29
"Work out","Rarely","Race","White",28
"Work out","Rarely","Race","Non-White",26
"Work out","Rarely","Children","Has Children",29
"Work out","Rarely","Children","No Children",26
"Work out","Rarely","Sexual Orientation","Straight",27
"Work out","Rarely","Sexual Orientation","Gay/Bisexual",33
"Work out","Never, but open to it","All Men",NA,10
"Work out","Never, but open to it","Age","18-34",7
"Work out","Never, but open to it","Age","35-64",12
"Work out","Never, but open to it","Age","65+",9
"Work out","Never, but open to it","Race","White",12
"Work out","Never, but open to it","Race","Non-White",6
"Work out","Never, but open to it","Children","Has Children",11
"Work out","Never, but open to it","Children","No Children",9
"Work out","Never, but open to it","Sexual Orientation","Straight",9
"Work out","Never, but open to it","Sexual Orientation","Gay/Bisexual",10
"Work out","Never, and not open to it","All Men",NA,7
"Work out","Never, and not open to it","Age","18-34",7
"Work out","Never, and not open to it","Age","35-64",5
"Work out","Never, and not open to it","Age","65+",13
"Work out","Never, and not open to it","Race","White",8
"Work out","Never, and not open to it","Race","Non-White",5
"Work out","Never, and not open to it","Children","Has Children",7
"Work out","Never, and not open to it","Children","No Children",7
"Work out","Never, and not open to it","Sexual Orientation","Straight",6
"Work out","Never, and not open to it","Sexual Orientation","Gay/Bisexual",8
"Work out","No answer","All Men",NA,2
"Work out","No answer","Age","18-34",0
"Work out","No answer","Age","35-64",2
"Work out","No answer","Age","65+",6
"Work out","No answer","Race","White",2
"Work out","No answer","Race","Non-White",2
"Work out","No answer","Children","Has Children",3
"Work out","No answer","Children","No Children",1
"Work out","No answer","Sexual Orientation","Straight",2
"Work out","No answer","Sexual Orientation","Gay/Bisexual",1
"See a therapist","Often","All Men",NA,5
"See a therapist","Often","Age","18-34",9
"See a therapist","Often","Age","35-64",4
"See a therapist","Often","Age","65+",1
"See a therapist","Often","Race","White",4
"See a therapist","Often","Race","Non-White",5
"See a therapist","Often","Children","Has Children",4
"See a therapist","Often","Children","No Children",6
"See a therapist","Often","Sexual Orientation","Straight",4
"See a therapist","Often","Sexual Orientation","Gay/Bisexual",12
"See a therapist","Sometimes","All Men",NA,9
"See a therapist","Sometimes","Age","18-34",10
"See a therapist","Sometimes","Age","35-64",9
"See a therapist","Sometimes","Age","65+",8
"See a therapist","Sometimes","Race","White",9
"See a therapist","Sometimes","Race","Non-White",9
"See a therapist","Sometimes","Children","Has Children",8
"See a therapist","Sometimes","Children","No Children",10
"See a therapist","Sometimes","Sexual Orientation","Straight",8
"See a therapist","Sometimes","Sexual Orientation","Gay/Bisexual",9
"See a therapist","Rarely","All Men",NA,15
"See a therapist","Rarely","Age","18-34",11
"See a therapist","Rarely","Age","35-64",17
"See a therapist","Rarely","Age","65+",14
"See a therapist","Rarely","Race","White",15
"See a therapist","Rarely","Race","Non-White",14
"See a therapist","Rarely","Children","Has Children",17
"See a therapist","Rarely","Children","No Children",13
"See a therapist","Rarely","Sexual Orientation","Straight",15
"See a therapist","Rarely","Sexual Orientation","Gay/Bisexual",22
"See a therapist","Never, but open to it","All Men",NA,37
"See a therapist","Never, but open to it","Age","18-34",35
"See a therapist","Never, but open to it","Age","35-64",39
"See a therapist","Never, but open to it","Age","65+",35
"See a therapist","Never, but open to it","Race","White",38
"See a therapist","Never, but open to it","Race","Non-White",34
"See a therapist","Never, but open to it","Children","Has Children",38
"See a therapist","Never, but open to it","Children","No Children",35
"See a therapist","Never, but open to it","Sexual Orientation","Straight",38
"See a therapist","Never, but open to it","Sexual Orientation","Gay/Bisexual",36
"See a therapist","Never, and not open to it","All Men",NA,32
"See a therapist","Never, and not open to it","Age","18-34",36
"See a therapist","Never, and not open to it","Age","35-64",28
"See a therapist","Never, and not open to it","Age","65+",38
"See a therapist","Never, and not open to it","Race","White",31
"See a therapist","Never, and not open to it","Race","Non-White",34
"See a therapist","Never, and not open to it","Children","Has Children",31
"See a therapist","Never, and not open to it","Children","No Children",34
"See a therapist","Never, and not open to it","Sexual Orientation","Straight",33
"See a therapist","Never, and not open to it","Sexual Orientation","Gay/Bisexual",22
"See a therapist","No answer","All Men",NA,2
"See a therapist","No answer","Age","18-34",0
"See a therapist","No answer","Age","35-64",3
"See a therapist","No answer","Age","65+",4
"See a therapist","No answer","Race","White",2
"See a therapist","No answer","Race","Non-White",3
"See a therapist","No answer","Children","Has Children",2
"See a therapist","No answer","Children","No Children",2
"See a therapist","No answer","Sexual Orientation","Straight",2
"See a therapist","No answer","Sexual Orientation","Gay/Bisexual",0
"Feel lonely or isolated","Often","All Men",NA,17
"Feel lonely or isolated","Often","Age","18-34",24
"Feel lonely or isolated","Often","Age","35-64",17
"Feel lonely or isolated","Often","Age","65+",7
"Feel lonely or isolated","Often","Race","White",17
"Feel lonely or isolated","Often","Race","Non-White",18
"Feel lonely or isolated","Often","Children","Has Children",11
"Feel lonely or isolated","Often","Children","No Children",24
"Feel lonely or isolated","Often","Sexual Orientation","Straight",14
"Feel lonely or isolated","Often","Sexual Orientation","Gay/Bisexual",32
"Feel lonely or isolated","Sometimes","All Men",NA,29
"Feel lonely or isolated","Sometimes","Age","18-34",32
"Feel lonely or isolated","Sometimes","Age","35-64",31
"Feel lonely or isolated","Sometimes","Age","65+",20
"Feel lonely or isolated","Sometimes","Race","White",28
"Feel lonely or isolated","Sometimes","Race","Non-White",33
"Feel lonely or isolated","Sometimes","Children","Has Children",28
"Feel lonely or isolated","Sometimes","Children","No Children",31
"Feel lonely or isolated","Sometimes","Sexual Orientation","Straight",30
"Feel lonely or isolated","Sometimes","Sexual Orientation","Gay/Bisexual",30
"Feel lonely or isolated","Rarely","All Men",NA,31
"Feel lonely or isolated","Rarely","Age","18-34",26
"Feel lonely or isolated","Rarely","Age","35-64",30
"Feel lonely or isolated","Rarely","Age","65+",43
"Feel lonely or isolated","Rarely","Race","White",36
"Feel lonely or isolated","Rarely","Race","Non-White",21
"Feel lonely or isolated","Rarely","Children","Has Children",35
"Feel lonely or isolated","Rarely","Children","No Children",27
"Feel lonely or isolated","Rarely","Sexual Orientation","Straight",32
"Feel lonely or isolated","Rarely","Sexual Orientation","Gay/Bisexual",28
"Feel lonely or isolated","Never, but open to it","All Men",NA,5
"Feel lonely or isolated","Never, but open to it","Age","18-34",3
"Feel lonely or isolated","Never, but open to it","Age","35-64",6
"Feel lonely or isolated","Never, but open to it","Age","65+",6
"Feel lonely or isolated","Never, but open to it","Race","White",4
"Feel lonely or isolated","Never, but open to it","Race","Non-White",7
"Feel lonely or isolated","Never, but open to it","Children","Has Children",6
"Feel lonely or isolated","Never, but open to it","Children","No Children",4
"Feel lonely or isolated","Never, but open to it","Sexual Orientation","Straight",5
"Feel lonely or isolated","Never, but open to it","Sexual Orientation","Gay/Bisexual",3
"Feel lonely or isolated","Never, and not open to it","All Men",NA,15
"Feel lonely or isolated","Never, and not open to it","Age","18-34",15
"Feel lonely or isolated","Never, and not open to it","Age","35-64",14
"Feel lonely or isolated","Never, and not open to it","Age","65+",21
"Feel lonely or isolated","Never, and not open to it","Race","White",14
"Feel lonely or isolated","Never, and not open to it","Race","Non-White",18
"Feel lonely or isolated","Never, and not open to it","Children","Has Children",17
"Feel lonely or isolated","Never, and not open to it","Children","No Children",13
"Feel lonely or isolated","Never, and not open to it","Sexual Orientation","Straight",17
"Feel lonely or isolated","Never, and not open to it","Sexual Orientation","Gay/Bisexual",5
"Feel lonely or isolated","No answer","All Men",NA,2
"Feel lonely or isolated","No answer","Age","18-34",0
"Feel lonely or isolated","No answer","Age","35-64",3
"Feel lonely or isolated","No answer","Age","65+",2
"Feel lonely or isolated","No answer","Race","White",1
"Feel lonely or isolated","No answer","Race","Non-White",3
"Feel lonely or isolated","No answer","Children","Has Children",3
"Feel lonely or isolated","No answer","Children","No Children",1
"Feel lonely or isolated","No answer","Sexual Orientation","Straight",2
"Feel lonely or isolated","No answer","Sexual Orientation","Gay/Bisexual",2
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","All Men",NA,54
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Age","18-34",45
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Age","35-64",59
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Age","65+",53
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Race","White",53
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Race","Non-White",56
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Children","Has Children",54
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Children","No Children",55
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Sexual Orientation","Straight",54
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your weight","Sexual Orientation","Gay/Bisexual",64
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","All Men",NA,53
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Age","18-34",53
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Age","35-64",60
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Age","65+",34
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Race","White",54
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Race","Non-White",51
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Children","Has Children",52
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Children","No Children",55
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Sexual Orientation","Straight",51
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your finances, including your current or future income, assets, or debt","Sexual Orientation","Gay/Bisexual",74
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","All Men",NA,49
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Age","18-34",42
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Age","35-64",52
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Age","65+",54
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Race","White",53
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Race","Non-White",43
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Children","Has Children",49
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Children","No Children",50
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Sexual Orientation","Straight",50
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physical health","Sexual Orientation","Gay/Bisexual",52
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","All Men",NA,33
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Age","18-34",40
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Age","35-64",34
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Age","65+",23
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Race","White",35
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Race","Non-White",31
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Children","Has Children",28
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Children","No Children",40
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Sexual Orientation","Straight",31
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your physique","Sexual Orientation","Gay/Bisexual",58
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","All Men",NA,32
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Age","18-34",33
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Age","35-64",39
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Age","65+",13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Race","White",31
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Race","Non-White",35
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Children","Has Children",38
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Children","No Children",26
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Sexual Orientation","Straight",34
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your ability to provide for your family, current or anticipated","Sexual Orientation","Gay/Bisexual",25
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","All Men",NA,32
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Age","18-34",45
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Age","35-64",30
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Age","65+",17
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Race","White",33
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Race","Non-White",30
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Children","Has Children",25
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Children","No Children",40
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Sexual Orientation","Straight",31
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your mental health","Sexual Orientation","Gay/Bisexual",42
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","All Men",NA,23
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Age","18-34",24
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Age","35-64",26
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Age","65+",16
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Race","White",23
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Race","Non-White",25
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Children","Has Children",24
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Children","No Children",23
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Sexual Orientation","Straight",21
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Sexual performance or amount of sex","Sexual Orientation","Gay/Bisexual",35
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","All Men",NA,19
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Age","18-34",33
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Age","35-64",16
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Age","65+",7
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Race","White",17
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Race","Non-White",23
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Children","Has Children",13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Children","No Children",26
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Sexual Orientation","Straight",18
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your hair or hairline","Sexual Orientation","Gay/Bisexual",24
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","All Men",NA,18
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Age","18-34",31
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Age","35-64",15
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Age","65+",9
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Race","White",15
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Race","Non-White",26
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Children","Has Children",12
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Children","No Children",26
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Sexual Orientation","Straight",16
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your clothing or style","Sexual Orientation","Gay/Bisexual",40
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","All Men",NA,13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Age","18-34",17
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Age","35-64",13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Age","65+",6
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Race","White",13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Race","Non-White",12
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Children","Has Children",10
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Children","No Children",16
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Sexual Orientation","Straight",11
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Appearance of your genitalia","Sexual Orientation","Gay/Bisexual",23
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","All Men",NA,6
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Age","18-34",12
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Age","35-64",4
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Age","65+",1
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Race","White",4
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Race","Non-White",10
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Children","Has Children",4
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Children","No Children",9
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Sexual Orientation","Straight",5
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","Your height","Sexual Orientation","Gay/Bisexual",12
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","All Men",NA,13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Age","18-34",10
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Age","35-64",12
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Age","65+",19
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Race","White",14
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Race","Non-White",10
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Children","Has Children",13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Children","No Children",12
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Sexual Orientation","Straight",13
"Which of the following do you worry about on a daily or near daily basis? (Select all that apply.)","None of the above","Sexual Orientation","Gay/Bisexual",9
"Which of the following categories best describes your employment status?","Employed, working full-time","All Men",NA,48
"Which of the following categories best describes your employment status?","Employed, working full-time","Age","18-34",40
"Which of the following categories best describes your employment status?","Employed, working full-time","Age","35-64",64
"Which of the following categories best describes your employment status?","Employed, working full-time","Age","65+",17
"Which of the following categories best describes your employment status?","Employed, working full-time","Race","White",45
"Which of the following categories best describes your employment status?","Employed, working full-time","Race","Non-White",54
"Which of the following categories best describes your employment status?","Employed, working full-time","Children","Has Children",56
"Which of the following categories best describes your employment status?","Employed, working full-time","Children","No Children",39
"Which of the following categories best describes your employment status?","Employed, working full-time","Sexual Orientation","Straight",51
"Which of the following categories best describes your employment status?","Employed, working full-time","Sexual Orientation","Gay/Bisexual",37
"Which of the following categories best describes your employment status?","Employed, working part-time","All Men",NA,10
"Which of the following categories best describes your employment status?","Employed, working part-time","Age","18-34",14
"Which of the following categories best describes your employment status?","Employed, working part-time","Age","35-64",8
"Which of the following categories best describes your employment status?","Employed, working part-time","Age","65+",9
"Which of the following categories best describes your employment status?","Employed, working part-time","Race","White",10
"Which of the following categories best describes your employment status?","Employed, working part-time","Race","Non-White",10
"Which of the following categories best describes your employment status?","Employed, working part-time","Children","Has Children",5
"Which of the following categories best describes your employment status?","Employed, working part-time","Children","No Children",14
"Which of the following categories best describes your employment status?","Employed, working part-time","Sexual Orientation","Straight",10
"Which of the following categories best describes your employment status?","Employed, working part-time","Sexual Orientation","Gay/Bisexual",11
"Which of the following categories best describes your employment status?","Not employed, student","All Men",NA,6
"Which of the following categories best describes your employment status?","Not employed, student","Age","18-34",18
"Which of the following categories best describes your employment status?","Not employed, student","Age","35-64",1
"Which of the following categories best describes your employment status?","Not employed, student","Age","65+",0
"Which of the following categories best describes your employment status?","Not employed, student","Race","White",5
"Which of the following categories best describes your employment status?","Not employed, student","Race","Non-White",9
"Which of the following categories best describes your employment status?","Not employed, student","Children","Has Children",1
"Which of the following categories best describes your employment status?","Not employed, student","Children","No Children",11
"Which of the following categories best describes your employment status?","Not employed, student","Sexual Orientation","Straight",4
"Which of the following categories best describes your employment status?","Not employed, student","Sexual Orientation","Gay/Bisexual",18
"Which of the following categories best describes your employment status?","Not employed-retired","All Men",NA,19
"Which of the following categories best describes your employment status?","Not employed-retired","Age","18-34",4
"Which of the following categories best describes your employment status?","Not employed-retired","Age","35-64",11
